333.58	0.052990	835.42	0.0011970	-2.8520	-2.8471	-8.2780	100.18	141.83	1138.7	-0.36867	undefined	undefined	0.023604	liquid
334.99	0.055679	833.86	0.0011992	-2.6519	-2.6467	-7.6792	100.57	142.25	1132.0	-0.36599	undefined	undefined	0.023425	liquid
336.40	0.058477	832.30	0.0012015	-2.4511	-2.4456	-7.0812	100.96	142.67	1125.2	-0.36330	undefined	undefined	0.023246	liquid
337.81	0.061385	830.74	0.0012037	-2.2498	-2.2440	-6.4840	101.36	143.08	1118.5	-0.36060	undefined	undefined	0.023067	liquid
339.22	0.064406	829.18	0.0012060	-2.0479	-2.0418	-5.8875	101.75	143.50	1111.8	-0.35790	undefined	undefined	0.022889	liquid
340.63	0.067545	827.62	0.0012083	-1.8454	-1.8391	-5.2918	102.15	143.92	1105.1	-0.35518	undefined	undefined	0.022711	liquid
342.04	0.070804	826.05	0.0012106	-1.6424	-1.6357	-4.6969	102.55	144.33	1098.4	-0.35245	undefined	undefined	0.022534	liquid
343.45	0.074187	824.48	0.0012129	-1.4387	-1.4317	-4.1027	102.95	144.75	1091.7	-0.34971	undefined	undefined	0.022356	liquid
344.86	0.077696	822.90	0.0012152	-1.2345	-1.2271	-3.5093	103.34	145.17	1085.0	-0.34696	undefined	undefined	0.022179	liquid
346.27	0.081335	821.33	0.0012175	-1.0297	-1.0220	-2.9166	103.74	145.58	1078.4	-0.34419	undefined	undefined	0.022003	liquid
347.68	0.085107	819.75	0.0012199	-0.82434	-0.81623	-2.3246	104.14	146.00	1071.8	-0.34141	undefined	undefined	0.021826	liquid
349.09	0.089015	818.17	0.0012222	-0.61838	-0.60989	-1.7334	104.54	146.41	1065.2	-0.33862	undefined	undefined	0.021650	liquid
350.50	0.093063	816.58	0.0012246	-0.41185	-0.40295	-1.1429	104.93	146.83	1058.6	-0.33582	undefined	undefined	0.021474	liquid
351.91	0.097255	814.99	0.0012270	-0.20475	-0.19543	-0.55318	105.33	147.24	1052.0	-0.33299	undefined	undefined	0.021299	liquid
353.32	0.10159	813.40	0.0012294	0.0029333	0.012689	0.035845	105.72	147.66	1045.4	-0.33016	undefined	undefined	0.021124	liquid
354.73	0.10608	811.81	0.0012318	0.21119	0.22139	0.62415	106.12	148.07	1038.9	-0.32730	undefined	undefined	0.020949	liquid
