#Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
287.00	4.9478	830.95	0.0012034	10.150	10.412	49.496	43.198	145.79	402.77	0.99205	76.302	0.093304	0.0021266	liquid
288.00	5.0688	822.50	0.0012158	10.271	10.542	49.925	43.362	150.47	392.63	1.0568	74.677	0.092050	0.0019690	liquid
289.00	5.1921	813.75	0.0012289	10.394	10.675	50.361	43.540	155.75	382.37	1.1271	73.047	0.090796	0.0018141	liquid
290.00	5.3177	804.67	0.0012428	10.519	10.810	50.805	43.734	161.76	371.95	1.2037	71.409	0.089546	0.0016620	liquid
291.00	5.4457	795.21	0.0012575	10.648	10.949	51.259	43.949	168.67	361.34	1.2874	69.758	0.088303	0.0015130	liquid
292.00	5.5761	785.33	0.0012733	10.779	11.091	51.723	44.190	176.68	350.49	1.3794	68.091	0.087072	0.0013671	liquid
293.00	5.7089	774.98	0.0012903	10.914	11.238	52.199	44.467	186.09	339.35	1.4811	66.403	0.085862	0.0012245	liquid
294.00	5.8443	764.09	0.0013087	11.053	11.390	52.690	44.790	197.31	327.85	1.5945	64.687	0.084684	0.0010855	liquid
295.00	5.9822	752.56	0.0013288	11.197	11.547	53.196	45.175	210.98	315.91	1.7218	62.936	0.083558	0.00095021	liquid
296.00	6.1227	740.28	0.0013508	11.347	11.711	53.723	45.644	228.03	303.44	1.8663	61.139	0.082512	0.00081907	liquid
297.00	6.2660	727.09	0.0013753	11.504	11.883	54.274	46.230	249.97	290.31	2.0321	59.283	0.081592	0.00069238	liquid
298.00	6.4121	712.77	0.0014030	11.669	12.065	54.855	46.978	279.34	276.42	2.2248	57.347	0.080873	0.00057058	liquid
299.00	6.5611	696.98	0.0014348	11.845	12.260	55.476	47.959	320.65	261.61	2.4523	55.303	0.080473	0.00045424	liquid
300.00	6.7131	679.24	0.0014722	12.036	12.471	56.151	49.288	382.79	245.67	2.7258	53.107	0.080593	0.00034411	liquid
301.00	6.8683	658.69	0.0015182	12.249	12.708	56.904	51.187	486.44	228.18	3.0643	50.691	0.081612	0.00024127	liquid
302.00	7.0268	633.69	0.0015781	12.496	12.984	57.783	54.201	694.76	208.08	3.5060	47.914	0.084452	0.00014736	liquid
303.00	7.1890	599.86	0.0016671	12.810	13.337	58.913	60.301	1330.5	182.14	4.1502	44.414	0.092768	6.5401e-05	liquid
304.00	7.3555	530.30	0.0018857	13.401	14.011	61.091	90.358	17028.	134.13	5.3904	38.013	0.18257	4.0423e-06	liquid

