# column 1: dameter d [A]
# column 2: Connoly distribution
# column 3: PSD
# value at d=0 is void-fraction
3.75 0.7783 0.015
3.77 0.7782 0.015
3.79 0.778 0.03
3.81 0.7776 0.025
3.83 0.7775 0.015
3.85 0.7773 0.025
3.87 0.777 0.02
3.89 0.7769 0.025
3.91 0.7765 0.035
3.93 0.7762 0.04
3.95 0.7757 0.04
3.97 0.7754 0.035
3.99 0.775 0.03
4.01 0.7748 0.02
4.03 0.7746 0.025
4.05 0.7743 0.04
4.07 0.7738 0.05
4.09 0.7733 0.035
4.11 0.7731 0.03
4.13 0.7727 0.035
4.15 0.7724 0.03
4.17 0.7721 0.025
4.19 0.7719 0.025
4.21 0.7716 0.025
4.23 0.7714 0.01
4.25 0.7714 0.015
4.27 0.7711 0.035
4.29 0.7707 0.03
4.31 0.7705 0.03
4.33 0.7701 0.025
4.35 0.77 0.005
4.37 0.77 0.02
4.39 0.7696 0.035
4.41 0.7693 0.025
4.43 0.7691 0.025
4.45 0.7688 0.04
4.47 0.7683 0.03
4.49 0.7682 0.02
4.51 0.7679 0.03
4.53 0.7676 0.035
4.55 0.7672 0.03
4.57 0.767 0.025
4.59 0.7667 0.03
4.61 0.7664 0.025
4.63 0.7662 0.03
4.65 0.7658 0.03
4.67 0.7656 0.015
4.69 0.7655 0.02
4.71 0.7652 0.02
4.73 0.7651 0.005
4.75 0.7651 0.015
4.77 0.7648 0.03
4.79 0.7645 0.025
4.81 0.7643 0.02
4.83 0.7641 0.03
4.85 0.7637 0.04
4.87 0.7633 0.02
4.89 0.7633 0.01
4.91 0.7631 0.01
4.93 0.7631 0.01
4.95 0.7629 0.02
4.97 0.7627 0.02
4.99 0.7625 0.015
5.01 0.7624 0.025
5.03 0.762 0.025
5.05 0.7619 0.015
5.07 0.7617 0.03
5.09 0.7613 0.04
5.11 0.7609 0.035
5.13 0.7606 0.02
5.15 0.7605 0.01
5.17 0.7604 0.015
5.19 0.7602 0.025
5.21 0.7599 0.03
5.23 0.7596 0.02
5.25 0.7595 0.01
5.27 0.7594 0.02
5.29 0.7591 0.02
5.31 0.759 0.015
5.33 0.7588 0.03
5.35 0.7584 0.04
5.37 0.758 0.04
5.39 0.7576 0.035
5.41 0.7573 0.03
5.43 0.757 0.025
5.45 0.7568 0.015
5.47 0.7567 0.02
5.49 0.7564 0.03
5.51 0.7561 0.025
5.53 0.7559 0.015
5.55 0.7558 0.03
5.57 0.7553 0.04
5.59 0.755 0.02
5.61 0.7549 0.015
5.63 0.7547 0.025
5.65 0.7544 0.025
5.67 0.7542 0.025
5.69 0.7539 0.015
5.71 0.7539 0.03
5.73 0.7533 0.045
5.75 0.753 0.02
5.77 0.7529 0.01
5.79 0.7528 0.015
5.81 0.7526 0.03
5.83 0.7522 0.04
5.85 0.7518 0.02
5.87 0.7518 0.015
5.89 0.7515 0.035
5.91 0.7511 0.06
5.93 0.7503 0.05
5.95 0.7501 0.02
5.97 0.7499 0.02
5.99 0.7497 0.02
6.01 0.7495 0.02
6.03 0.7493 0.025
6.05 0.749 0.015
6.07 0.749 0.025
6.09 0.7485 0.045
6.11 0.7481 0.05
6.13 0.7475 0.045
6.15 0.7472 0.04
6.17 0.7467 0.045
6.19 0.7463 0.03
6.21 0.7461 0.015
6.23 0.746 0.02
6.25 0.7457 0.025
6.27 0.7455 0.04
6.29 0.7449 0.045
6.31 0.7446 0.035
6.33 0.7442 0.045
6.35 0.7437 0.05
6.37 0.7432 0.035
6.39 0.743 0.025
6.41 0.7427 0.025
6.43 0.7425 0.015
6.45 0.7424 0.03
6.47 0.7419 0.03
6.49 0.7418 0.025
6.51 0.7414 0.04
6.53 0.741 0.025
6.55 0.7409 0.01
6.57 0.7408 0.01
6.59 0.7407 0.015
6.61 0.7405 0.02
6.63 0.7403 0.03
6.65 0.7399 0.05
6.67 0.7393 0.045
6.69 0.739 0.03
6.71 0.7387 0.02
6.73 0.7386 0.02
6.75 0.7383 0.02
6.77 0.7382 0.045
6.79 0.7374 0.045
6.81 0.7373 0.02
6.83 0.737 0.02
6.85 0.7369 0.035
6.87 0.7363 0.035
6.89 0.7362 0.01
6.91 0.7361 0.015
6.93 0.7359 0.04
6.95 0.7353 0.05
6.97 0.7349 0.04
6.99 0.7345 0.025
7.01 0.7344 0.025
7.03 0.734 0.025
7.05 0.7339 0.02
7.07 0.7336 0.02
7.09 0.7335 0.03
7.11 0.733 0.045
7.13 0.7326 0.045
7.15 0.7321 0.045
7.17 0.7317 0.045
7.19 0.7312 0.045
7.21 0.7308 0.03
7.23 0.7306 0.03
7.25 0.7302 0.035
7.27 0.7299 0.025
7.29 0.7297 0.03
7.31 0.7293 0.025
7.33 0.7292 0.03
7.35 0.7287 0.035
7.37 0.7285 0.045
7.39 0.7278 0.045
7.41 0.7276 0.035
7.43 0.7271 0.06
7.45 0.7264 0.05
7.47 0.7261 0.03
7.49 0.7258 0.035
7.51 0.7254 0.04
7.53 0.725 0.04
7.55 0.7246 0.03
7.57 0.7244 0.03
7.59 0.724 0.04
7.61 0.7236 0.055
7.63 0.7229 0.055
7.65 0.7225 0.04
7.67 0.7221 0.04
7.69 0.7217 0.055
7.71 0.721 0.045
7.73 0.7208 0.05
7.75 0.72 0.08
7.77 0.7192 0.055
7.79 0.7189 0.04
7.81 0.7184 0.03
7.83 0.7183 0.025
7.85 0.7179 0.025
7.87 0.7178 0.025
7.89 0.7174 0.045
7.91 0.7169 0.04
7.93 0.7166 0.04
7.95 0.7161 0.06
7.97 0.7154 0.065
7.99 0.7148 0.055
8.01 0.7143 0.05
8.03 0.7138 0.05
8.05 0.7133 0.05
8.07 0.7128 0.08
8.09 0.7117 0.105
8.11 0.7107 0.09
8.13 0.7099 0.075
8.15 0.7092 0.05
8.17 0.7089 0.05
8.19 0.7082 0.08
8.21 0.7073 0.06
8.23 0.707 0.035
8.25 0.7066 0.065
8.27 0.7057 0.08
8.29 0.705 0.07
8.31 0.7043 0.09
8.33 0.7032 0.11
8.35 0.7021 0.085
8.37 0.7015 0.035
8.39 0.7014 0.02
8.41 0.7011 0.035
8.43 0.7007 0.08
8.45 0.6995 0.12
8.47 0.6983 0.1
8.49 0.6975 0.075
8.51 0.6968 0.085
8.53 0.6958 0.08
8.55 0.6952 0.07
8.57 0.6944 0.085
8.59 0.6935 0.08
8.61 0.6928 0.07
8.63 0.6921 0.1
8.65 0.6908 0.125
8.67 0.6896 0.07
8.69 0.6894 0.08
8.71 0.688 0.105
8.73 0.6873 0.13
8.75 0.6854 0.13
8.77 0.6847 0.1
8.79 0.6834 0.12
8.81 0.6823 0.15
8.83 0.6804 0.16
8.85 0.6791 0.145
8.87 0.6775 0.16
8.89 0.6759 0.14
8.91 0.6747 0.195
8.93 0.672 0.2
8.95 0.6707 0.155
8.97 0.6689 0.195
8.99 0.6668 0.245
9.01 0.664 0.24
9.03 0.662 0.23
9.05 0.6594 0.23
9.07 0.6574 0.22
9.09 0.655 0.3
9.11 0.6514 0.295
9.13 0.6491 0.265
9.15 0.6461 0.275
9.17 0.6436 0.27
9.19 0.6407 0.255
9.21 0.6385 0.225
9.23 0.6362 0.205
9.25 0.6344 0.175
9.27 0.6327 0.195
9.29 0.6305 0.195
9.31 0.6288 0.235
9.33 0.6258 0.275
9.35 0.6233 0.21
9.37 0.6216 0.195
9.39 0.6194 0.215
9.41 0.6173 0.19
9.43 0.6156 0.23
9.45 0.6127 0.27
9.47 0.6102 0.225
9.49 0.6082 0.19
9.51 0.6064 0.225
9.53 0.6037 0.275
9.55 0.6009 0.305
9.57 0.5976 0.35
9.59 0.5939 0.35
9.61 0.5906 0.385
9.63 0.5862 0.435
9.65 0.5819 0.445
9.67 0.5773 0.47
9.69 0.5725 0.48
9.71 0.5677 0.465
9.73 0.5632 0.54
9.75 0.5569 0.665
9.77 0.5499 0.78
9.79 0.5413 0.76
9.81 0.5347 0.695
9.83 0.5274 0.69
9.85 0.5209 0.65
9.87 0.5144 0.57
9.89 0.5095 0.465
9.91 0.5051 0.415
9.93 0.5012 0.41
9.95 0.4969 0.425
9.97 0.4927 0.355
9.99 0.4898 0.35
10.01 0.4857 0.465
10.03 0.4805 0.495
10.05 0.4758 0.53
10.07 0.4699 0.575
10.09 0.4643 0.63
10.11 0.4573 0.7
10.13 0.4503 0.715
10.15 0.443 0.93
10.17 0.4317 1.075
10.19 0.4215 1.045
10.21 0.4108 1.195
10.23 0.3976 1.235
10.25 0.3861 1.2
10.27 0.3736 1.295
10.29 0.3602 1.21
10.31 0.3494 1.095
10.33 0.3383 1.045
10.35 0.3285 1.06
10.37 0.3171 1.105
10.39 0.3064 1.015
10.41 0.2968 1.015
10.43 0.2861 1.09
10.45 0.275 1.175
10.47 0.2626 1.235
10.49 0.2503 1.4
10.51 0.2346 1.49
10.53 0.2205 1.705
10.55 0.2005 2.145
10.57 0.1776 2.55
10.59 0.1495 2.83
10.61 0.121 2.75
10.63 0.0945 2.72
10.65 0.0666 2.585
10.67 0.0428 2.155
10.69 0.0235 1.58
10.71 0.0112 0.91
10.73 0.0053 0.46
10.75 0.002 0.225
10.77 0.0008 0.09
10.79 0.0002 0.04
10.81 0 0.01
10.83 0 -0
10.85 0 -0
10.87 0 -0
10.89 0 -0
10.91 0 -0
10.93 0 -0
10.95 0 -0
10.97 0 -0
10.99 0 -0
11.01 0 -0
11.03 0 -0
11.05 0 -0
11.07 0 -0
11.09 0 -0
11.11 0 -0
11.13 0 -0
11.15 0 -0
11.17 0 -0
11.19 0 -0
11.21 0 -0
11.23 0 -0
11.25 0 -0
11.27 0 -0
11.29 0 -0
11.31 0 -0
11.33 0 -0
11.35 0 -0
11.37 0 -0
11.39 0 -0
11.41 0 -0
11.43 0 -0
11.45 0 -0
11.47 0 -0
11.49 0 -0
11.51 0 -0
11.53 0 -0
11.55 0 -0
11.57 0 -0
11.59 0 -0
11.61 0 -0
11.63 0 -0
11.65 0 -0
11.67 0 -0
11.69 0 -0
11.71 0 -0
11.73 0 -0
11.75 0 -0
11.77 0 -0
11.79 0 -0
11.81 0 -0
11.83 0 -0
11.85 0 -0
11.87 0 -0
11.89 0 -0
11.91 0 -0
11.93 0 -0
11.95 0 -0
11.97 0 -0
11.99 0 -0
12.01 0 -0
12.03 0 -0
12.05 0 -0
12.07 0 -0
12.09 0 -0
12.11 0 -0
12.13 0 -0
12.15 0 -0
12.17 0 -0
12.19 0 -0
12.21 0 -0
12.23 0 -0
12.25 0 -0
12.27 0 -0
12.29 0 -0
12.31 0 -0
12.33 0 -0
12.35 0 -0
12.37 0 -0
12.39 0 -0
12.41 0 -0
12.43 0 -0
12.45 0 -0
12.47 0 -0
12.49 0 -0
12.51 0 -0
12.53 0 -0
12.55 0 -0
12.57 0 -0
12.59 0 -0
12.61 0 -0
12.63 0 -0
12.65 0 -0
12.67 0 -0
12.69 0 -0
12.71 0 -0
12.73 0 -0
12.75 0 -0
12.77 0 -0
12.79 0 -0
12.81 0 -0
12.83 0 -0
12.85 0 -0
12.87 0 -0
12.89 0 -0
12.91 0 -0
12.93 0 -0
12.95 0 -0
12.97 0 -0
12.99 0 -0
13.01 0 -0
13.03 0 -0
13.05 0 -0
13.07 0 -0
13.09 0 -0
13.11 0 -0
13.13 0 -0
13.15 0 -0
13.17 0 -0
13.19 0 -0
13.21 0 -0
13.23 0 -0
13.25 0 -0
13.27 0 -0
13.29 0 -0
13.31 0 -0
13.33 0 -0
13.35 0 -0
13.37 0 -0
13.39 0 -0
13.41 0 -0
13.43 0 -0
13.45 0 -0
13.47 0 -0
13.49 0 -0
13.51 0 -0
13.53 0 -0
13.55 0 -0
13.57 0 -0
13.59 0 -0
13.61 0 -0
13.63 0 -0
13.65 0 -0
13.67 0 -0
13.69 0 -0
13.71 0 -0
13.73 0 -0
13.75 0 -0
13.77 0 -0
13.79 0 -0
13.81 0 -0
13.83 0 -0
13.85 0 -0
13.87 0 -0
13.89 0 -0
13.91 0 -0
13.93 0 -0
13.95 0 -0
13.97 0 -0
13.99 0 -0
14.01 0 -0
14.03 0 -0
14.05 0 -0
14.07 0 -0
14.09 0 -0
14.11 0 -0
14.13 0 -0
14.15 0 -0
14.17 0 -0
14.19 0 -0
14.21 0 -0
14.23 0 -0
14.25 0 -0
14.27 0 -0
14.29 0 -0
14.31 0 -0
14.33 0 -0
14.35 0 -0
14.37 0 -0
14.39 0 -0
14.41 0 -0
14.43 0 -0
14.45 0 -0
14.47 0 -0
14.49 0 -0
14.51 0 -0
14.53 0 -0
14.55 0 -0
14.57 0 -0
14.59 0 -0
14.61 0 -0
14.63 0 -0
14.65 0 -0
14.67 0 -0
14.69 0 -0
14.71 0 -0
14.73 0 -0
14.75 0 -0
14.77 0 -0
14.79 0 -0
14.81 0 -0
14.83 0 -0
14.85 0 -0
14.87 0 -0
14.89 0 -0
14.91 0 -0
14.93 0 -0
14.95 0 -0
14.97 0 -0
14.99 0 -0
15.01 0 -0
15.03 0 -0
15.05 0 -0
15.07 0 -0
15.09 0 -0
15.11 0 -0
15.13 0 -0
15.15 0 -0
15.17 0 -0
15.19 0 -0
15.21 0 -0
15.23 0 -0
15.25 0 -0
15.27 0 -0
15.29 0 -0
15.31 0 -0
15.33 0 -0
15.35 0 -0
15.37 0 -0
15.39 0 -0
15.41 0 -0
15.43 0 -0
15.45 0 -0
15.47 0 -0
15.49 0 -0
15.51 0 -0
15.53 0 -0
15.55 0 -0
15.57 0 -0
15.59 0 -0
15.61 0 -0
15.63 0 -0
15.65 0 -0
15.67 0 -0
15.69 0 -0
15.71 0 -0
15.73 0 -0
15.75 0 -0
15.77 0 -0
15.79 0 -0
