# 2-theta   d         h  k  l  Mult Lp          Scat. Factor    Intensity
 40.53713   0.44937 [ -4, -6,  0]    4  14.01337     414.2445037620     0.077382
 40.96931   0.45396 [ -1, -7,  1]    4  13.68588     326.6570911859     0.059594
 40.96931   0.45396 [ -1, -7, -1]    4  13.68588     332.5608407882     0.060671
 41.14247   0.45579 [ -3, -1,  2]    4  13.55765     333.8339087896     0.060333
 41.14247   0.45579 [ -3, -1, -2]    4  13.55765     311.3081093470     0.056262
 41.20269   0.45643 [ -3, -7,  0]    4  13.51344    1350.3158771805     0.243243
 41.40809   0.45861 [  0, -4, -2]    2  13.36416     365.9641750842     0.032598
 41.40809   0.45861 [  0, -4,  2]    2  13.36416     493.1799972308     0.043929
 41.46800   0.45924 [  0, -8,  0]    2  13.32106     446.2146778505     0.039618
 41.63640   0.46102 [  5,  5,  0]    4  13.20091    2269.8321917387     0.399426
 43.50911   0.48078 [ -2, -4,  2]    4  11.96080     624.2366809082     0.099529
 43.50911   0.48078 [ -2, -4, -2]    4  11.96080     661.2178037046     0.105425
 43.56666   0.48138 [ -2, -8,  0]    4  11.92530      16.1115987016     0.002561
 43.80154   0.48385 [  3,  3,  2]    4  11.78193    8570.4753956464     1.346047
 43.80154   0.48385 [ -3, -3, -2]    4  11.78193    9090.6384175344     1.427742
 44.37890   0.48991 [  6,  2,  1]    4  11.43957    1372.1994392881     0.209250
 44.37890   0.48991 [ -6, -2, -1]    4  11.43957    1290.9615248480     0.196862
 44.39307   0.49006 [  6,  4,  0]    4  11.43134    2717.0115599961     0.414026
 44.46525   0.49081 [ -4,  0,  2]    2  11.38956    2006.8482974222     0.152346
 44.46525   0.49081 [ -4,  0, -2]    2  11.38956    2397.3392765219     0.181989
 44.50768   0.49126 [ -4, -6,  1]    4  11.36510    5782.4278494214     0.876037
 44.50768   0.49126 [ -4, -6, -1]    4  11.36510    5987.8452548803     0.907157
 44.88063   0.49516 [ -1, -5, -2]    4  11.15321    5001.2880697594     0.743568
 44.88063   0.49516 [ -1, -5,  2]    4  11.15321    5131.4856640378     0.762925
 45.12556   0.49772 [ -3, -7, -1]    4  11.01704    2387.8902958596     0.350686
 45.12556   0.49772 [ -3, -7,  1]    4  11.01704    2396.7052740408     0.351980
 45.37229   0.50030 [  0, -8, -1]    2  10.88220   15892.6064007350     1.152711
 45.37229   0.50030 [  0, -8,  1]    2  10.88220   16400.5064967942     1.189550
 45.52904   0.50194 [  5,  5,  1]    4  10.79773    1117.6812221512     0.160875
 45.52904   0.50194 [ -5, -5, -1]    4  10.79773    1135.8543304428     0.163491
 45.73257   0.50406 [  4,  2,  2]    4  10.68942    1032.9070887458     0.147182
 45.73257   0.50406 [ -4, -2, -2]    4  10.68942     938.5545715758     0.133737
 46.14284   0.50834 [  7,  1,  0]    4  10.47564     502.4669389088     0.070166
