# column 1: dameter d [A]
# column 2: Connoly distribution
# column 3: PSD
# value at d=0 is void-fraction
4.93 0.7152 0.04
4.95 0.7148 0.025
4.97 0.7147 0.03
4.99 0.7142 0.045
5.01 0.7138 0.025
5.03 0.7137 0.03
5.05 0.7132 0.055
5.07 0.7126 0.035
5.09 0.7125 0.02
5.11 0.7122 0.02
5.13 0.7121 0.025
5.15 0.7117 0.035
5.17 0.7114 0.035
5.19 0.711 0.03
5.21 0.7108 0.03
5.23 0.7104 0.05
5.25 0.7098 0.045
5.27 0.7095 0.03
5.29 0.7092 0.045
5.31 0.7086 0.045
5.33 0.7083 0.03
5.35 0.708 0.035
5.37 0.7076 0.04
5.39 0.7072 0.035
5.41 0.7069 0.04
5.43 0.7064 0.04
5.45 0.7061 0.015
5.47 0.7061 0.01
5.49 0.7059 0.01
5.51 0.7059 0.025
5.53 0.7054 0.03
5.55 0.7053 0.015
5.57 0.7051 0.015
5.59 0.705 0.015
5.61 0.7048 0.015
5.63 0.7047 0.01
5.65 0.7046 0.015
5.67 0.7044 0.03
5.69 0.704 0.035
5.71 0.7037 0.025
5.73 0.7035 0.015
5.75 0.7034 0.005
5.77 0.7034 0.02
5.79 0.703 0.035
5.81 0.7027 0.025
5.83 0.7025 0.03
5.85 0.7021 0.03
5.87 0.7019 0.015
5.89 0.7018 0.02
5.91 0.7015 0.03
5.93 0.7012 0.04
5.95 0.7007 0.03
5.97 0.7006 0.015
5.99 0.7004 0.025
6.01 0.7001 0.015
6.03 0.7001 0.025
6.05 0.6996 0.03
6.07 0.6995 0.03
6.09 0.699 0.04
6.11 0.6987 0.04
6.13 0.6982 0.05
6.15 0.6977 0.03
6.17 0.6976 0.01
6.19 0.6975 0.02
6.21 0.6972 0.025
6.23 0.697 0.04
6.25 0.6964 0.05
6.27 0.696 0.03
6.29 0.6958 0.035
6.31 0.6953 0.025
6.33 0.6953 0.01
6.35 0.6951 0.015
6.37 0.695 0.015
6.39 0.6948 0.01
6.41 0.6948 0.02
6.43 0.6944 0.025
6.45 0.6943 0.02
6.47 0.694 0.025
6.49 0.6938 0.03
6.51 0.6934 0.04
6.53 0.693 0.05
6.55 0.6924 0.03
6.57 0.6924 0.01
6.59 0.6922 0.015
6.61 0.6921 0.015
6.63 0.6919 0.02
6.65 0.6917 0.015
6.67 0.6916 0.02
6.69 0.6913 0.02
6.71 0.6912 0.01
6.73 0.6911 0.025
6.75 0.6907 0.03
6.77 0.6905 0.03
6.79 0.6901 0.03
6.81 0.6899 0.015
6.83 0.6898 0.02
6.85 0.6895 0.025
6.87 0.6893 0.015
6.89 0.6892 0.015
6.91 0.689 0.02
6.93 0.6888 0.01
6.95 0.6888 0.03
6.97 0.6882 0.035
6.99 0.6881 0.015
7.01 0.6879 0.015
7.03 0.6878 0.02
7.05 0.6875 0.02
7.07 0.6874 0.025
7.09 0.687 0.02
7.11 0.687 0.015
7.13 0.6867 0.025
7.15 0.6865 0.025
7.17 0.6862 0.035
7.19 0.6858 0.055
7.21 0.6851 0.055
7.23 0.6847 0.04
7.25 0.6843 0.03
7.27 0.6841 0.02
7.29 0.6839 0.03
7.31 0.6835 0.045
7.33 0.683 0.045
7.35 0.6826 0.025
7.37 0.6825 0.01
7.39 0.6824 0.03
7.41 0.6819 0.045
7.43 0.6815 0.055
7.45 0.6808 0.055
7.47 0.6804 0.035
7.49 0.6801 0.015
7.51 0.6801 0.015
7.53 0.6798 0.03
7.55 0.6795 0.04
7.57 0.679 0.03
7.59 0.6789 0.02
7.61 0.6786 0.05
7.63 0.6779 0.065
7.65 0.6773 0.04
7.67 0.6771 0.02
7.69 0.6769 0.03
7.71 0.6765 0.05
7.73 0.6759 0.055
7.75 0.6754 0.025
7.77 0.6754 0.05
7.79 0.6744 0.07
7.81 0.674 0.035
7.83 0.6737 0.04
7.85 0.6732 0.045
7.87 0.6728 0.03
7.89 0.6726 0.025
7.91 0.6723 0.03
7.93 0.672 0.045
7.95 0.6714 0.045
7.97 0.6711 0.035
7.99 0.6707 0.05
8.01 0.6701 0.055
8.03 0.6696 0.04
8.05 0.6693 0.03
8.07 0.669 0.03
8.09 0.6687 0.035
8.11 0.6683 0.035
8.13 0.668 0.03
8.15 0.6677 0.035
8.17 0.6673 0.035
8.19 0.667 0.04
8.21 0.6665 0.06
8.23 0.6658 0.045
8.25 0.6656 0.02
8.27 0.6654 0.025
8.29 0.6651 0.035
8.31 0.6647 0.04
8.33 0.6643 0.05
8.35 0.6637 0.075
8.37 0.6628 0.085
8.39 0.662 0.07
8.41 0.6614 0.04
8.43 0.6612 0.03
8.45 0.6608 0.045
8.47 0.6603 0.05
8.49 0.6598 0.05
8.51 0.6593 0.045
8.53 0.6589 0.045
8.55 0.6584 0.05
8.57 0.6579 0.05
8.59 0.6574 0.055
8.61 0.6568 0.035
8.63 0.6567 0.03
8.65 0.6562 0.03
8.67 0.6561 0.015
8.69 0.6559 0.03
8.71 0.6555 0.03
8.73 0.6553 0.04
8.75 0.6547 0.05
8.77 0.6543 0.025
8.79 0.6542 0.045
8.81 0.6534 0.065
8.83 0.6529 0.045
8.85 0.6525 0.05
8.87 0.6519 0.06
8.89 0.6513 0.06
8.91 0.6507 0.05
8.93 0.6503 0.03
8.95 0.6501 0.035
8.97 0.6496 0.05
8.99 0.6491 0.05
9.01 0.6486 0.05
9.03 0.6481 0.05
9.05 0.6476 0.045
9.07 0.6472 0.02
9.09 0.6472 0.02
9.11 0.6468 0.035
9.13 0.6465 0.03
9.15 0.6462 0.025
9.17 0.646 0.015
9.19 0.6459 0.01
9.21 0.6458 0.005
9.23 0.6458 0.015
9.25 0.6455 0.025
9.27 0.6453 0.035
9.29 0.6448 0.05
9.31 0.6443 0.06
9.33 0.6436 0.08
9.35 0.6427 0.055
9.37 0.6425 0.045
9.39 0.6418 0.055
9.41 0.6414 0.025
9.43 0.6413 0.04
9.45 0.6406 0.07
9.47 0.6399 0.055
9.49 0.6395 0.05
9.51 0.6389 0.045
9.53 0.6386 0.025
9.55 0.6384 0.035
9.57 0.6379 0.055
9.59 0.6373 0.065
9.61 0.6366 0.06
9.63 0.6361 0.05
9.65 0.6356 0.05
9.67 0.6351 0.045
9.69 0.6347 0.04
9.71 0.6343 0.03
9.73 0.6341 0.015
9.75 0.634 0.035
9.77 0.6334 0.045
9.79 0.6331 0.035
9.81 0.6327 0.035
9.83 0.6324 0.045
9.85 0.6318 0.045
9.87 0.6315 0.065
9.89 0.6305 0.09
9.91 0.6297 0.045
9.93 0.6296 0.02
9.95 0.6293 0.035
9.97 0.6289 0.04
9.99 0.6285 0.04
10.01 0.6281 0.03
10.03 0.6279 0.03
10.05 0.6275 0.05
10.07 0.6269 0.04
10.09 0.6267 0.05
10.11 0.6259 0.08
10.13 0.6251 0.05
10.15 0.6249 0.045
10.17 0.6242 0.045
10.19 0.624 0.03
10.21 0.6236 0.04
10.23 0.6232 0.03
10.25 0.623 0.03
10.27 0.6226 0.04
10.29 0.6222 0.04
10.31 0.6218 0.03
10.33 0.6216 0.035
10.35 0.6211 0.04
10.37 0.6208 0.055
10.39 0.62 0.06
10.41 0.6196 0.05
10.43 0.619 0.04
10.45 0.6188 0.04
10.47 0.6182 0.035
10.49 0.6181 0.025
10.51 0.6177 0.05
10.53 0.6171 0.04
10.55 0.6169 0.06
10.57 0.6159 0.065
10.59 0.6156 0.035
10.61 0.6152 0.06
10.63 0.6144 0.075
10.65 0.6137 0.055
10.67 0.6133 0.06
10.69 0.6125 0.085
10.71 0.6116 0.09
10.73 0.6107 0.1
10.75 0.6096 0.08
10.77 0.6091 0.06
10.79 0.6084 0.13
10.81 0.6065 0.215
10.83 0.6041 0.215
10.85 0.6022 0.195
10.87 0.6002 0.225
10.89 0.5977 0.3
10.91 0.5942 0.29
10.93 0.5919 0.29
10.95 0.5884 0.345
10.97 0.585 0.395
10.99 0.5805 0.505
11.01 0.5749 0.62
11.03 0.5681 0.74
11.05 0.5601 0.82
11.07 0.5517 0.81
11.09 0.5439 0.82
11.11 0.5353 0.855
11.13 0.5268 0.885
11.15 0.5176 0.805
11.17 0.5107 0.725
11.19 0.5031 0.735
11.21 0.496 0.735
11.23 0.4884 0.785
11.25 0.4803 0.775
11.27 0.4729 0.7
11.29 0.4663 0.65
11.31 0.4599 0.625
11.33 0.4538 0.575
11.35 0.4484 0.485
11.37 0.4441 0.365
11.39 0.4411 0.31
11.41 0.4379 0.27
11.43 0.4357 0.22
11.45 0.4335 0.2
11.47 0.4317 0.17
11.49 0.4301 0.125
11.51 0.4292 0.115
11.53 0.4278 0.095
11.55 0.4273 0.055
11.57 0.4267 0.04
11.59 0.4265 0.025
11.61 0.4262 0.03
11.63 0.4259 0.045
11.65 0.4253 0.055
11.67 0.4248 0.045
11.69 0.4244 0.03
11.71 0.4242 0.015
11.73 0.4241 0.02
11.75 0.4238 0.045
11.77 0.4232 0.05
11.79 0.4228 0.04
11.81 0.4224 0.045
11.83 0.4219 0.035
11.85 0.4217 0.02
11.87 0.4215 0.025
11.89 0.4212 0.025
11.91 0.421 0.025
11.93 0.4207 0.04
11.95 0.4202 0.03
11.97 0.4201 0.015
11.99 0.4199 0.025
12.01 0.4196 0.05
12.03 0.4189 0.06
12.05 0.4184 0.045
12.07 0.418 0.03
12.09 0.4178 0.02
12.11 0.4176 0.015
12.13 0.4175 0.02
12.15 0.4172 0.03
12.17 0.4169 0.02
12.19 0.4168 0.02
12.21 0.4165 0.025
12.23 0.4163 0.025
12.25 0.416 0.045
12.27 0.4154 0.05
12.29 0.415 0.025
12.31 0.4149 0.01
12.33 0.4148 0.015
12.35 0.4146 0.015
12.37 0.4145 0.01
12.39 0.4144 0.025
12.41 0.414 0.04
12.43 0.4136 0.025
12.45 0.4135 0.03
12.47 0.413 0.05
12.49 0.4125 0.035
12.51 0.4123 0.02
12.53 0.4121 0.015
12.55 0.412 0.015
12.57 0.4118 0.035
12.59 0.4113 0.04
12.61 0.411 0.03
12.63 0.4107 0.03
12.65 0.4104 0.02
12.67 0.4103 0.015
12.69 0.4101 0.025
12.71 0.4098 0.02
12.73 0.4097 0.005
12.75 0.4097 0.01
12.77 0.4095 0.03
12.79 0.4091 0.03
12.81 0.4089 0.01
12.83 0.4089 0.015
12.85 0.4086 0.03
12.87 0.4083 0.02
12.89 0.4082 0.01
12.91 0.4081 0.015
12.93 0.4079 0.02
12.95 0.4077 0.03
12.97 0.4073 0.03
12.99 0.4071 0.015
13.01 0.407 0.03
13.03 0.4065 0.035
13.05 0.4063 0.025
13.07 0.406 0.035
13.09 0.4056 0.035
13.11 0.4053 0.03
13.13 0.405 0.035
13.15 0.4046 0.03
13.17 0.4044 0.025
13.19 0.4041 0.035
13.21 0.4037 0.025
13.23 0.4036 0.01
13.25 0.4035 0.015
13.27 0.4033 0.03
13.29 0.4029 0.035
13.31 0.4026 0.045
13.33 0.402 0.03
13.35 0.402 0.01
13.37 0.4018 0.025
13.39 0.4015 0.025
13.41 0.4013 0.03
13.43 0.4009 0.035
13.45 0.4006 0.025
13.47 0.4004 0.02
13.49 0.4002 0.035
13.51 0.3997 0.05
13.53 0.3992 0.05
13.55 0.3987 0.045
13.57 0.3983 0.03
13.59 0.3981 0.035
13.61 0.3976 0.055
13.63 0.397 0.04
13.65 0.3968 0.02
13.67 0.3966 0.015
13.69 0.3965 0.03
13.71 0.396 0.03
13.73 0.3959 0.015
13.75 0.3957 0.025
13.77 0.3954 0.05
13.79 0.3947 0.055
13.81 0.3943 0.03
13.83 0.3941 0.015
13.85 0.394 0.035
13.87 0.3934 0.065
13.89 0.3927 0.09
13.91 0.3916 0.09
13.93 0.3909 0.055
13.95 0.3905 0.035
13.97 0.3902 0.065
13.99 0.3892 0.075
14.01 0.3887 0.085
14.03 0.3875 0.125
14.05 0.3862 0.13
14.07 0.3849 0.115
14.09 0.3839 0.125
14.11 0.3824 0.155
14.13 0.3808 0.205
14.15 0.3783 0.26
14.17 0.3756 0.305
14.19 0.3722 0.335
14.21 0.3689 0.345
14.23 0.3653 0.385
14.25 0.3612 0.445
14.27 0.3564 0.52
14.29 0.3508 0.725
14.31 0.3419 0.73
14.33 0.3362 0.765
14.35 0.3266 0.97
14.37 0.3168 1.03
14.39 0.306 1.19
14.41 0.293 1.355
14.43 0.2789 1.51
14.45 0.2628 1.505
14.47 0.2488 1.445
14.49 0.2339 1.475
14.51 0.2193 1.455
14.53 0.2048 1.545
14.55 0.1884 1.665
14.57 0.1715 1.645
14.59 0.1555 1.585
14.61 0.1398 1.595
14.63 0.1236 1.655
14.65 0.1067 1.5
14.67 0.0936 1.275
14.69 0.0812 1.285
14.71 0.0679 1.245
14.73 0.0563 1.035
14.75 0.0472 0.955
14.77 0.0372 0.935
14.79 0.0285 0.765
14.81 0.0219 0.62
14.83 0.0161 0.49
14.85 0.0121 0.41
14.87 0.0079 0.33
14.89 0.0055 0.235
14.91 0.0032 0.21
14.93 0.0013 0.13
14.95 0.0006 0.06
14.97 0.0001 0.03
14.99 0 0.005
15.01 0 -0
15.03 0 -0
15.05 0 -0
15.07 0 -0
15.09 0 -0
15.11 0 -0
15.13 0 -0
15.15 0 -0
15.17 0 -0
15.19 0 -0
15.21 0 -0
15.23 0 -0
15.25 0 -0
15.27 0 -0
15.29 0 -0
15.31 0 -0
15.33 0 -0
15.35 0 -0
15.37 0 -0
15.39 0 -0
15.41 0 -0
15.43 0 -0
15.45 0 -0
15.47 0 -0
15.49 0 -0
15.51 0 -0
15.53 0 -0
15.55 0 -0
15.57 0 -0
15.59 0 -0
15.61 0 -0
15.63 0 -0
15.65 0 -0
15.67 0 -0
15.69 0 -0
15.71 0 -0
15.73 0 -0
15.75 0 -0
15.77 0 -0
15.79 0 -0
15.81 0 -0
15.83 0 -0
15.85 0 -0
15.87 0 -0
15.89 0 -0
15.91 0 -0
15.93 0 -0
15.95 0 -0
15.97 0 -0
15.99 0 -0
16.01 0 -0
16.03 0 -0
16.05 0 -0
16.07 0 -0
16.09 0 -0
16.11 0 -0
16.13 0 -0
16.15 0 -0
16.17 0 -0
16.19 0 -0
16.21 0 -0
16.23 0 -0
16.25 0 -0
16.27 0 -0
16.29 0 -0
16.31 0 -0
16.33 0 -0
16.35 0 -0
16.37 0 -0
16.39 0 -0
16.41 0 -0
16.43 0 -0
16.45 0 -0
16.47 0 -0
16.49 0 -0
16.51 0 -0
16.53 0 -0
16.55 0 -0
16.57 0 -0
16.59 0 -0
16.61 0 -0
16.63 0 -0
16.65 0 -0
16.67 0 -0
16.69 0 -0
16.71 0 -0
16.73 0 -0
16.75 0 -0
16.77 0 -0
16.79 0 -0
16.81 0 -0
16.83 0 -0
16.85 0 -0
16.87 0 -0
16.89 0 -0
16.91 0 -0
16.93 0 -0
16.95 0 -0
16.97 0 -0
16.99 0 -0
17.01 0 -0
17.03 0 -0
17.05 0 -0
17.07 0 -0
17.09 0 -0
17.11 0 -0
17.13 0 -0
17.15 0 -0
17.17 0 -0
17.19 0 -0
17.21 0 -0
17.23 0 -0
17.25 0 -0
17.27 0 -0
17.29 0 -0
17.31 0 -0
17.33 0 -0
17.35 0 -0
17.37 0 -0
17.39 0 -0
17.41 0 -0
17.43 0 -0
17.45 0 -0
17.47 0 -0
17.49 0 -0
17.51 0 -0
17.53 0 -0
17.55 0 -0
17.57 0 -0
17.59 0 -0
17.61 0 -0
17.63 0 -0
17.65 0 -0
17.67 0 -0
17.69 0 -0
17.71 0 -0
17.73 0 -0
17.75 0 -0
17.77 0 -0
17.79 0 -0
17.81 0 -0
17.83 0 -0
17.85 0 -0
17.87 0 -0
17.89 0 -0
17.91 0 -0
17.93 0 -0
17.95 0 -0
17.97 0 -0
17.99 0 -0
18.01 0 -0
18.03 0 -0
18.05 0 -0
18.07 0 -0
18.09 0 -0
18.11 0 -0
18.13 0 -0
18.15 0 -0
18.17 0 -0
18.19 0 -0
18.21 0 -0
18.23 0 -0
18.25 0 -0
18.27 0 -0
18.29 0 -0
18.31 0 -0
18.33 0 -0
18.35 0 -0
18.37 0 -0
18.39 0 -0
18.41 0 -0
18.43 0 -0
18.45 0 -0
18.47 0 -0
18.49 0 -0
18.51 0 -0
18.53 0 -0
18.55 0 -0
18.57 0 -0
18.59 0 -0
18.61 0 -0
18.63 0 -0
18.65 0 -0
18.67 0 -0
18.69 0 -0
18.71 0 -0
18.73 0 -0
18.75 0 -0
18.77 0 -0
18.79 0 -0
18.81 0 -0
18.83 0 -0
18.85 0 -0
18.87 0 -0
18.89 0 -0
18.91 0 -0
18.93 0 -0
18.95 0 -0
18.97 0 -0
18.99 0 -0
19.01 0 -0
19.03 0 -0
19.05 0 -0
19.07 0 -0
19.09 0 -0
19.11 0 -0
19.13 0 -0
19.15 0 -0
19.17 0 -0
19.19 0 -0
19.21 0 -0
19.23 0 -0
19.25 0 -0
19.27 0 -0
19.29 0 -0
19.31 0 -0
19.33 0 -0
19.35 0 -0
19.37 0 -0
19.39 0 -0
19.41 0 -0
19.43 0 -0
19.45 0 -0
19.47 0 -0
19.49 0 -0
19.51 0 -0
19.53 0 -0
19.55 0 -0
19.57 0 -0
19.59 0 -0
19.61 0 -0
19.63 0 -0
19.65 0 -0
19.67 0 -0
19.69 0 -0
19.71 0 -0
19.73 0 -0
19.75 0 -0
19.77 0 -0
19.79 0 -0
19.81 0 -0
19.83 0 -0
19.85 0 -0
19.87 0 -0
19.89 0 -0
19.91 0 -0
19.93 0 -0
19.95 0 -0
19.97 0 -0
19.99 0 -0
